ID,var1,Education,Experience,Hours,Age,Gender,Location
1129,143657,14,35,31,54,Female,Urban
1130,112039,13,23,41,43,Male,Urban
1131,32964,7,0,35,19,Female,Urban
1132,100726,5,27,35,47,Female,Urban
1133,81054,9,15,22,33,Female,Urban
1134,117395,7,35,31,55,Female,Urban
1135,106982,14,20,26,37,Male,Urban
1136,112731,9,32,33,54,Female,Urban
1137,86986,16,7,38,24,Male,Urban
1138,33779,1,9,30,29,Female,Urban
1139,80836,9,17,28,35,Female,Urban
1140,67012,7,22,9,44,Female,Urban
1141,113503,14,26,38,43,Female,Urban
1142,114856,11,33,25,50,Female,Urban
1143,93826,8,26,33,42,Male,Urban
1144,105392,10,28,30,44,Female,Rural
1145,104641,12,22,25,36,Male,Rural
1146,139753,12,36,26,49,Male,Urban
1147,69727,7,15,33,35,Male,Urban
1148,80193,8,14,38,32,Male,Rural
1149,62515,11,8,36,28,Female,Urban
1150,59822,8,13,23,35,Female,Urban
1151,58487,8,7,38,25,Female,Urban
1152,106358,14,24,26,45,Female,Urban
1153,38870,6,6,,29,Female,Urban
1154,129612,12,33,25,48,Male,Urban
1155,52772,6,8,31,26,Male,Urban
1156,74514,3,17,39,35,Male,Urban
1157,80699,9,23,15,42,Female,Urban
1158,166342,11,53,38,65,Male,Urban
1159,134303,3,45,22,62,Male,Urban
1160,85384,5,28,20,49,Female,Urban
1161,113167,11,26,34,40,Male,Urban
1162,163233,17,40,31,57,Male,Urban
1163,56630,11,10,20,32,Female,Urban
1164,92337,6,27,22,37,Male,Urban
1165,80824,13,,31,32,Male,Urban
1166,54665,8,6,32,22,Male,Urban
1167,58233,4,12,31,28,Male,Urban
1168,56338,7,7,33,24,Female,Urban
1169,98919,11,22,30,37,Male,Urban
1170,121261,2,41,38,61,Female,Rural
1171,90054,10,19,34,38,Female,Urban
1172,129761,9,30,45,50,Male,Rural
1173,52426,6,8,31,27,Male,Rural
1174,106358,10,33,31,48,Female,Urban
1175,127855,7,37,33,52,Male,Urban
1176,71196,11,10,33,24,Male,Urban
1177,86339,7,25,23,38,Male,Urban
1178,97022,8,25,28,47,Female,Urban
1179,73619,6,17,32,27,Male,Urban
1180,105129,14,20,23,33,Male,Urban
1181,39274,9,3,25,21,Female,Urban
1182,54967,5,8,31,31,Female,Urban
1183,110356,10,31,33,45,Male,Urban
1184,87839,6,18,35,39,Female,Urban
1185,103479,19,12,29,28,Male,Urban
1186,78926,8,20,25,37,Female,Urban
1187,139188,9,41,37,56,Male,Urban
1188,45812,9,0,38,19,Male,Urban
1189,108074,8,36,14,58,Female,Urban
1190,73278,7,17,29,30,Male,Urban
1191,149562,10,43,32,61,Male,Urban
1192,143961,12,39,39,57,Female,Urban
1193,70512,8,15,30,35,Female,Rural
1194,45544,13,0,28,18,Female,Urban
1195,63097,9,8,27,29,Female,Urban
1196,58697,6,9,35,22,Male,Urban
1197,51416,11,3,37,20,Male,Urban
1198,28283,6,0,34,18,Female,Urban
1199,79966,15,8,36,26,Male,Urban
1200,56746,11,4,29,25,Female,Urban
1201,137035,9,43,33,55,Male,Urban
1202,71961,7,15,37,34,Female,Urban
1203,86843,6,24,36,43,Female,Urban
1204,83517,9,16,31,30,Male,Urban
1205,119397,7,42,23,63,Female,Urban
1206,51934,7,9,28,29,Female,Urban
1207,110898,10,24,43,39,Male,Urban
1208,90395,9,19,32,31,Male,Urban
1209,71185,9,9,38,28,Male,Urban
1210,83172,7,22,31,43,Female,Urban
1211,53545,11,3,40,18,Male,Urban
1212,140404,14,33,38,55,Male,Urban
1213,58884,4,13,31,30,Male,Urban
1214,125740,10,41,24,62,Female,Rural
1215,74888,5,18,40,39,Male,Urban
1216,99892,10,23,23,39,Male,Urban
1217,33724,5,4,28,26,Female,Urban
1218,120972,12,28,28,44,Male,Urban
1219,93231,14,17,27,38,Male,Urban
1220,147533,12,39,48,55,Male,Urban
1221,63871,10,16,18,38,Female,Urban
1222,70651,3,21,34,42,Male,Urban
1223,94440,10,20,39,38,Male,Urban
1224,100037,9,28,27,47,Male,Urban
1225,67949,14,6,22,23,Male,Urban
1226,137799,10,41,39,58,Male,Urban
1227,73762,13,7,29,23,Male,Urban
1228,63300,10,11,28,31,Female,Urban
1229,112690,12,28,26,48,Female,Urban
1230,90918,6,26,34,38,Male,Urban
1231,106393,6,33,23,54,Male,Urban
1232,37444,8,2,,20,Female,Urban
1233,67691,11,7,29,26,Female,Urban
1234,122272,12,33,23,53,Male,Urban
1235,108672,7,34,17,55,Male,Urban
1236,74002,9,14,34,38,Female,Urban
1237,67664,7,18,31,33,Female,Urban
1238,56820,3,21,18,41,Female,Urban
1239,96891,7,29,27,47,Male,Urban
1240,100572,13,18,31,32,Male,Urban
1241,63815,12,8,35,28,Female,Urban
1242,71941,6,20,26,37,Male,Urban
1243,144276,11,42,32,58,Female,Urban
1244,52585,10,4,33,23,Female,Urban
1245,56967,7,6,28,22,Male,Urban
1246,126678,14,29,20,49,Female,Urban
1247,151999,7,47,33,61,Male,Urban
1248,48305,5,8,26,25,Female,Urban
1249,72750,6,20,19,38,Female,Urban
1250,57580,6,7,33,29,Female,Rural
1251,83891,9,19,27,41,Female,Rural
1252,54489,8,6,36,27,Male,Urban
1253,140711,13,41,22,62,Female,Urban
1254,102393,12,21,33,35,Female,Urban
1255,90228,8,20,39,34,Male,Urban
1256,85100,10,16,41,29,Male,Urban
1257,64419,6,14,31,30,Male,Urban
1258,123075,9,32,44,50,Male,Urban
1259,69626,11,11,25,31,Female,Urban
1260,68964,9,7,31,25,Male,Rural
1261,105513,2,33,42,52,Male,Urban
1262,67341,15,6,28,25,Male,Urban
1263,48084,7,10,21,26,Female,Urban
1264,42601,5,4,32,22,Female,Urban
1265,30665,5,5,29,18,Male,Urban
1266,97765,11,23,28,37,Male,Urban
1267,93831,5,27,37,43,Male,Urban
1268,77106,8,17,26,30,Male,Urban
1269,94878,6,28,27,46,Female,Urban
1270,85580,9,20,24,37,Female,Urban
1271,101858,2,35,38,57,Female,Urban
1272,50989,8,,22,25,Male,Urban
1273,78787,10,19,27,40,Female,Urban
1274,40547,3,9,25,26,Male,Urban
1275,37966,8,0,37,19,Female,Urban
1276,73875,10,13,36,31,Female,Urban
1277,94508,9,20,39,32,Male,Urban
1278,116857,8,32,35,49,Female,Rural
1279,130483,12,29,39,47,Male,Urban
1280,146422,10,48,27,65,Female,Urban
1281,72507,7,17,20,35,Female,Urban
1282,105813,11,31,23,51,Female,Urban
1283,121543,9,40,19,61,Female,Urban
1284,72972,10,16,17,32,Female,Urban
1285,64950,9,16,29,35,Female,Urban
1286,34013,8,1,26,21,Female,Urban
1287,164214,11,48,33,62,Male,Urban
1288,103463,9,28,24,50,Female,Urban
1289,141522,11,41,31,60,Male,Urban
1290,57006,4,14,30,34,Female,Urban
1291,60335,9,7,27,26,Female,Urban
1292,53227,6,8,42,31,Male,Urban
1293,97789,8,26,30,42,Male,Urban
1294,72971,8,15,18,32,Female,Urban
1295,45313,6,11,26,33,Male,Urban
1296,69489,16,6,30,28,Female,Urban
1297,121981,8,37,25,60,Female,Urban
1298,113864,10,30,36,46,Male,Urban
1299,88934,6,26,15,47,Female,Urban
1300,60055,11,9,28,29,Female,Urban
1301,64764,8,12,27,32,Female,Urban
1302,69608,9,13,35,31,Male,Urban
1303,63507,14,8,18,24,Female,Urban
1304,37740,6,4,36,18,Male,Urban
1305,46617,6,0,33,24,Male,Rural
1306,165392,13,45,40,56,Male,Urban
1307,81849,15,10,33,29,Male,Urban
1308,92593,14,13,39,29,Male,Urban
1309,25573,7,0,20,18,Female,Urban
1310,56396,8,,33,39,Female,Urban
1311,86058,11,16,33,32,Male,Urban
1312,56032,7,8,32,24,Male,Urban
1313,68383,10,11,27,29,Female,Urban
1314,89767,11,15,33,26,Male,Urban
1315,137009,10,39,31,59,Female,Urban
1316,88341,10,20,32,36,Male,Urban
1317,57153,11,8,21,25,Female,Urban
1318,106811,11,27,19,40,Male,Urban
1319,29002,8,0,30,19,Female,Urban
1320,108517,10,28,23,36,Male,Rural
1321,54024,6,12,33,31,Female,Urban
1322,37548,8,0,32,21,Female,Urban
1323,87996,12,22,22,39,Female,Urban
1324,38787,5,9,30,31,Male,Urban
1325,60628,11,10,18,28,Male,Urban
1326,110470,14,25,25,38,Male,Urban
1327,66053,11,11,27,27,Female,Urban
1328,132488,13,35,29,51,Female,Urban
1329,75476,12,14,17,31,Female,Urban
1330,107404,12,28,25,48,Female,Urban
1331,88222,13,13,35,28,Male,Urban
1332,56630,15,0,25,18,Female,Rural
1333,75837,11,10,33,21,Male,Urban
1334,61925,5,13,30,33,Female,Urban
1335,66848,12,9,31,29,Male,Urban
1336,55506,8,14,26,35,Female,Urban
1337,99365,8,27,23,50,Female,Urban
1338,48929,6,11,21,31,Female,Urban
1339,32942,9,0,33,21,Female,Urban
1340,94678,13,24,19,42,Female,Urban
1341,50957,12,0,33,18,Male,Urban
1342,68007,10,14,28,33,Female,Urban
1343,161244,14,44,36,57,Male,Urban
1344,125143,14,31,33,49,Female,Urban
1345,114277,8,33,34,51,Male,Urban
1346,72771,11,12,28,29,Male,Urban
1347,100416,10,25,36,47,Female,Urban
1348,54111,10,10,18,33,Female,Urban
1349,51776,6,8,27,29,Female,Urban
1350,51008,3,14,26,32,Female,Urban
1351,139958,15,30,36,41,Male,Urban
1352,39225,4,3,39,24,Female,Urban
1353,73505,9,17,27,38,Female,Urban
1354,43860,8,1,32,19,Female,Urban
1355,68361,14,9,35,29,Female,Urban
1356,95001,10,25,,45,Female,Urban
1357,133693,7,45,27,63,Male,Urban
1358,132769,9,40,31,54,Male,Urban
1359,63703,6,15,25,35,Female,Urban
1360,79903,7,19,35,37,Male,Urban
1361,129889,10,37,29,50,Male,Urban
1362,101167,8,26,33,44,Female,Urban
1363,128990,10,40,36,61,Female,Urban
1364,116496,4,45,21,65,Female,Urban
1365,53677,12,4,33,21,Female,Urban
1366,61748,6,,27,40,Female,Urban
1367,96649,10,26,28,36,Male,Urban
1368,79468,11,13,30,27,Male,Urban
1369,100667,14,19,33,33,Male,Urban
1370,119194,15,24,31,37,Male,Urban
1371,87825,12,13,,29,Male,Urban
1372,97668,4,35,16,55,Female,Urban
1373,117048,4,40,29,59,Male,Urban
1374,145458,9,46,24,63,Male,Urban
1375,111482,10,33,20,56,Female,Urban
1376,77041,10,13,27,29,Female,Rural
1377,119636,7,37,31,55,Male,Urban
1378,59375,12,2,33,20,Male,Urban
1379,59708,9,9,26,31,Female,Urban
1380,140713,12,35,37,43,Male,Rural
1381,152146,13,43,26,61,Female,Urban
1382,113986,9,32,23,46,Male,Urban
1383,121152,5,35,41,53,Male,Urban
1384,96681,7,29,35,49,Female,Urban
1385,118371,8,31,38,47,Male,Urban
1386,50115,6,11,30,32,Female,Urban
1387,65234,8,5,38,22,Male,Rural
1388,141376,10,43,31,59,Male,Urban
1389,134744,12,39,21,58,Female,Urban
1390,80351,7,20,39,38,Female,Urban
1391,58494,10,9,34,27,Female,Urban
1392,41846,8,4,29,26,Female,Urban
1393,112680,9,34,26,51,Male,Urban
1394,121040,3,46,25,65,Female,Urban
1395,140113,9,44,31,57,Male,Urban
1396,38441,9,0,25,19,Female,Urban
1397,75563,10,14,30,29,Male,Urban
1398,92669,11,17,33,33,Female,Urban
1399,88762,12,21,26,40,Female,Urban
1400,69703,9,11,31,25,Male,Urban
1401,138977,9,41,31,58,Female,Urban
1402,148373,17,,34,43,Male,Urban
1403,59816,8,6,29,23,Male,Urban
1404,35339,5,5,28,26,Female,Urban
1405,167079,12,45,41,58,Male,Urban
1406,127619,12,37,19,57,Male,Urban
1407,84172,9,19,26,35,Male,Urban
1408,69668,7,21,24,36,Female,Urban
1409,81175,6,22,32,40,Female,Urban
1410,55364,7,11,24,26,Female,Urban
1411,103442,10,27,34,37,Male,Urban
1412,45216,4,5,45,25,Male,Urban
1413,81677,11,15,29,30,Male,Urban
1414,104626,8,,28,53,Female,Urban
1415,39235,6,2,,25,Female,Urban
1416,96464,8,28,28,50,Female,Urban
1417,95346,11,23,26,38,Male,Urban
1418,113851,16,17,46,31,Male,Urban
1419,73900,12,10,26,29,Male,Urban
1420,94560,4,32,25,55,Female,Urban
1421,83067,7,24,15,42,Female,Urban
1422,134132,16,27,38,45,Male,Rural
1423,157703,14,41,34,56,Male,Urban
1424,102638,6,35,28,50,Female,Urban
1425,63151,6,16,30,35,Male,Urban
1426,66372,13,9,22,29,Female,Rural
1427,27715,7,0,19,18,Female,Urban
1428,73016,12,12,30,30,Female,Urban
1429,143914,12,39,33,52,Male,Urban
1430,94790,7,28,22,44,Male,Urban
1431,63296,12,10,25,33,Female,Urban
1432,116047,10,31,29,51,Female,Urban
1433,76723,11,11,41,27,Male,Urban
1434,86282,1,32,27,52,Female,Urban
1435,47975,11,3,29,25,Female,Urban
1436,37063,9,2,36,20,Male,Urban
1437,90495,10,20,30,40,Male,Urban
1438,23478,2,3,29,23,Female,Urban
1439,144799,9,45,38,62,Female,Urban
1440,120906,9,35,26,51,Female,Urban
1441,44343,5,9,25,31,Female,Urban
1442,153188,9,42,47,54,Male,Urban
1443,78131,12,12,28,25,Male,Urban
1444,138216,12,40,31,58,Male,Urban
1445,93981,12,17,34,36,Female,Urban
1446,100832,9,22,39,34,Male,Urban
1447,27622,5,8,11,30,Female,Urban
1448,176866,11,51,37,64,Male,Urban
1449,100722,6,29,24,48,Female,Urban
1450,104552,15,,36,42,Female,Urban
1451,61381,5,15,31,34,Female,Urban
1452,142424,5,45,32,60,Male,Urban
1453,93077,13,21,33,39,Female,Urban
1454,133003,15,33,26,41,Male,Urban
1455,58332,11,8,27,26,Female,Urban
1456,42701,5,9,25,29,Female,Urban
1457,94050,6,26,32,48,Male,Urban
1458,78386,12,14,33,32,Female,Urban
1459,87981,16,9,30,22,Male,Urban
1460,103514,10,19,32,28,Male,Urban
1461,52768,7,7,29,31,Male,Urban
1462,55660,6,13,28,33,Female,Urban
1463,67119,8,15,28,30,Female,Urban
1464,135458,4,41,41,51,Male,Urban
1465,114484,8,32,24,51,Male,Urban
1466,89592,12,16,31,29,Male,Urban
1467,36842,6,4,35,20,Male,Urban
1468,132334,14,29,33,48,Male,Urban
1469,39871,7,6,22,24,Male,Urban
1470,79075,11,13,30,29,Female,Urban
1471,65159,11,9,34,24,Male,Urban
1472,51432,8,8,27,23,Male,Urban
1473,123669,7,38,40,52,Male,Urban
1474,95886,12,16,33,29,Male,Urban
1475,33001,8,7,27,25,Female,Urban
1476,55918,6,10,32,28,Male,Urban
1477,30428,10,0,11,19,Female,Urban
1478,56751,9,8,32,29,Female,Urban
1479,61168,7,18,18,39,Female,Urban
1480,129242,6,41,34,51,Male,Urban
1481,58438,10,7,25,19,Male,Urban
1482,45561,7,3,28,19,Male,Urban
1483,114440,11,29,44,46,Female,Urban
1484,81254,11,13,34,32,Female,Urban
1485,56459,8,10,36,25,Male,Urban
1486,53228,10,6,34,28,Female,Urban
1487,82253,9,18,21,31,Male,Urban
1488,74196,12,14,31,32,Male,Urban
1489,108481,9,31,27,44,Male,Urban
1490,80460,10,10,40,31,Female,Urban
1491,62934,7,16,21,37,Female,Rural
1492,56265,7,12,21,34,Female,Urban
1493,101406,8,30,22,50,Female,Urban
1494,71646,9,12,30,33,Female,Urban
1495,81358,8,17,34,37,Female,Urban
1496,51333,11,2,27,23,Male,Rural
1497,65728,12,4,31,22,Female,Urban
1498,40586,7,3,27,23,Female,Urban
1499,62283,9,6,33,23,Female,Urban
1500,63496,9,14,26,36,Female,Urban
1501,69629,10,7,40,23,Male,Rural
1502,142956,8,41,39,54,Male,Urban
1503,43950,5,7,34,27,Female,Urban
1504,124283,12,34,28,42,Male,Urban
1505,99152,12,27,17,44,Male,Rural
1506,85538,11,19,28,37,Female,Urban
1507,76245,8,16,36,36,Female,Urban
1508,50793,10,3,30,24,Female,Urban
1509,139898,10,41,23,60,Male,Urban
1510,55778,9,10,21,29,Female,Urban
1511,76992,7,21,33,33,Male,Urban
1512,92073,12,15,36,26,Male,Urban
1513,67729,10,9,,26,Male,Urban
1514,85263,9,18,,32,Male,Urban
1515,36394,8,0,30,21,Female,Urban
1516,140382,9,43,38,63,Female,Urban
1517,32401,8,2,28,20,Male,Urban
1518,90283,9,21,30,36,Male,Urban
1519,141796,7,49,20,62,Male,Urban
1520,71725,12,14,21,28,Female,Urban
1521,127935,11,33,32,46,Male,Urban
1522,35324,4,4,27,23,Female,Urban
1523,73489,7,16,30,29,Male,Urban
1524,75279,8,15,29,35,Female,Urban
1525,76150,7,22,27,37,Male,Urban
1526,154297,10,44,45,61,Male,Urban
1527,126034,12,33,26,45,Male,Urban
1528,62328,8,11,26,26,Male,Urban
1529,65246,11,5,40,20,Female,Urban
1530,45060,11,0,39,18,Male,Urban
1531,72607,6,18,32,31,Male,Urban
1532,101704,5,36,13,53,Male,Urban
1533,76118,8,20,16,38,Male,Urban
1534,63499,14,2,38,25,Female,Urban
1535,92345,11,17,32,38,Female,Rural
1536,127198,14,29,36,37,Male,Urban
1537,56226,9,4,40,19,Male,Urban
1538,152919,15,39,34,56,Male,Urban
1539,112702,10,30,31,47,Female,Urban
1540,118089,10,38,28,57,Female,Urban
1541,110932,6,34,34,54,Female,Urban
1542,50489,11,9,19,29,Female,Urban
1543,87001,7,20,31,40,Female,Urban
1544,54778,5,13,23,33,Female,Urban
1545,18647,6,0,20,20,Female,Urban
1546,75433,10,13,32,29,Male,Urban
1547,56928,11,1,37,21,Male,Rural
1548,85172,10,19,24,38,Female,Urban
1549,63452,14,3,23,20,Male,Urban
1550,119199,11,34,21,45,Male,Urban
1551,161419,14,47,25,64,Male,Urban
1552,138923,11,40,29,60,Female,Rural
1553,50736,6,8,29,,Female,Urban
1554,95671,8,24,33,38,Male,Urban
1555,79585,12,15,24,34,Male,Rural
1556,153606,13,44,32,60,Male,Rural
1557,121998,15,29,25,45,Male,Urban
1558,55660,7,17,22,39,Female,Urban
1559,107001,11,23,36,41,Female,Urban
1560,62258,10,12,22,33,Female,Urban
1561,74782,8,15,21,37,Female,Urban
1562,162496,11,,23,55,Male,Rural
1563,84003,5,24,37,45,Female,Urban
1564,134233,4,40,34,51,Male,Urban
1565,62043,9,10,34,27,Male,Urban
1566,67414,12,15,26,30,Female,Urban
1567,111969,9,33,23,50,Female,Urban
1568,70948,16,3,21,19,Male,Urban
1569,48061,7,4,27,19,Female,Urban
1570,87082,6,26,17,38,Male,Urban
1571,61609,7,9,32,29,Female,Urban
1572,116577,9,34,35,47,Male,Urban
1573,63840,12,4,35,25,Male,Rural
1574,113538,11,29,27,48,Female,Urban
1575,62474,9,8,33,25,Male,Urban
1576,53793,9,6,27,22,Female,Urban
1577,158085,16,38,42,49,Male,Urban
1578,61247,11,7,36,27,Female,Urban
1579,63493,7,14,27,29,Male,Urban
1580,93129,13,15,43,30,Male,Urban
1581,68948,6,16,30,38,Female,Rural
1582,52121,12,2,25,21,Female,Urban
1583,41288,7,4,31,25,Female,Urban
1584,127988,10,42,18,64,Female,Urban
1585,153010,11,47,36,65,Female,Urban
1586,130105,11,32,35,50,Male,Urban
1587,63914,4,15,25,31,Male,Urban
1588,142467,11,43,26,64,Female,Urban
1589,124021,11,38,30,60,Female,Urban
1590,50551,0,18,30,36,Female,Urban
1591,53797,7,13,18,35,Female,Urban
1592,71375,7,18,26,,Female,Urban
1593,81415,9,15,29,32,Male,Urban
1594,132870,8,39,36,56,Male,Rural
1595,89380,11,21,35,42,Female,Urban
1596,42909,13,0,30,23,Female,Urban
1597,59199,8,11,36,31,Female,Urban
1598,36618,9,0,27,19,Female,Urban
1599,90904,11,17,39,30,Male,Urban
1600,78759,5,24,34,48,Female,Urban
1601,31374,9,0,29,18,Female,Urban
1602,130489,8,38,33,57,Male,Urban
1603,71493,11,13,34,30,Male,Urban
1604,113447,9,28,31,47,Female,Urban
1605,100233,11,27,15,46,Female,Urban
1606,85234,11,13,37,32,Male,Urban
1607,94979,9,25,20,43,Female,Rural
1608,50166,9,5,26,25,Female,Urban
1609,59335,10,6,29,25,Female,Urban
1610,135062,5,42,35,53,Male,Urban
1611,77714,9,13,36,29,Male,Urban
1612,68969,9,14,,31,Male,Urban
1613,105353,9,29,28,47,Female,Urban
1614,118670,10,32,39,45,Male,Urban
1615,147371,14,39,33,59,Female,Urban
1616,26802,8,3,22,26,Female,Urban
1617,147135,9,51,17,65,Male,Urban
1618,30998,6,0,34,20,Female,Urban
1619,18082,10,0,12,20,Female,Urban
1620,125731,11,31,36,47,Male,Urban
1621,69147,7,13,36,32,Male,Urban
1622,135906,11,41,32,64,Male,Urban
1623,45513,7,6,30,27,Female,Urban
1624,68197,4,18,26,37,Female,Urban
1625,141395,13,38,28,51,Male,Urban
1626,94259,7,25,36,42,Female,Urban
1627,61345,7,10,34,27,Male,Urban
1628,146924,7,45,29,60,Male,Urban
1629,71972,9,11,32,27,Male,Urban
1630,123404,16,29,24,37,Male,Urban
1631,102935,8,31,32,,Male,Urban
1632,116442,12,23,42,37,Male,Urban
1633,36983,7,1,24,19,Female,Urban
1634,77938,4,25,23,45,Female,Urban
1635,69424,8,22,22,39,Female,Urban
1636,52695,10,3,28,18,Male,Urban
1637,64903,11,11,30,30,Male,Urban
1638,146147,12,38,40,47,Male,Urban
1639,95665,10,19,39,35,Male,Urban
1640,55676,12,1,37,20,Male,Urban
1641,157833,13,43,32,54,Male,Urban
1642,78101,8,17,31,36,Female,Urban
1643,68625,10,12,32,32,Male,Urban
1644,99996,11,24,23,40,Male,Urban
1645,52912,6,14,21,31,Female,Urban
1646,53076,8,9,24,28,Female,Urban
1647,93025,8,21,39,38,Male,Urban
1648,73237,12,10,29,28,Female,Urban
1649,164330,12,47,24,63,Male,Urban
1650,117232,9,35,29,49,Male,Urban
1651,55101,7,8,33,26,Female,Urban
1652,159422,11,46,39,64,Male,Urban
1653,140566,14,33,30,45,Male,Rural
1654,62355,4,20,15,40,Female,Urban
1655,72370,13,12,25,31,Female,Urban
1656,77950,5,,15,44,Female,Urban
1657,125629,10,34,43,52,Male,Urban
1658,121670,12,36,12,52,Female,Urban
1659,103225,12,23,41,34,Male,Urban
1660,44335,8,0,28,18,Female,Urban
1661,139813,11,39,34,50,Male,Urban
1662,88417,6,27,42,44,Male,Urban
1663,58057,6,16,,32,Female,Urban
1664,130863,8,39,27,60,Female,Rural
1665,73920,13,11,32,29,Male,Rural
